record_id,title,category,description,keywords,source,last_updated
KB-0001,Remote Work Policy,HR,Employees may work remotely up to 4 days per week with manager approval. Remote days must be logged in the HR system by end of day. Equipment is provided by IT upon request.,"remote work, work from home, WFH, telecommute, manager approval, flexible schedule",HR Handbook v4.2,2025-11-12
KB-0002,Annual Leave Entitlement,HR,Permanent employees accrue 25 paid leave days per year plus 10 public holidays. Unused leave may carry over up to 5 days into the next calendar year. Leave must be requested at least 7 days in advance unless approved as emergency leave.,"annual leave, vacation, PTO, holidays, leave carryover, time off",HR Handbook v4.2,2025-10-03
KB-0003,Expense Reimbursement Policy,Finance,Business expenses up to 500 USD can be claimed without pre-approval. Larger amounts require prior approval from the department head. Receipts must be attached within 30 days. Reimbursement is processed within 10 business days.,"expense, reimbursement, claims, receipts, approval, travel expenses",Finance Policy v2.1,2025-09-18
KB-0004,Corporate Credit Card Usage,Finance,Corporate cards are issued to staff on request. Cards may only be used for approved business expenses. Personal purchases are prohibited and result in disciplinary action. Monthly statements must be reconciled by the cardholder.,"credit card, corporate card, purchasing, reconciliation, spend",Finance Policy v2.1,2025-08-27
KB-0005,Password Policy,IT,"All accounts require a password of at least 12 characters including upper and lower case letters, digits, and a symbol. Passwords must be changed every 90 days and may not be reused within 8 cycles. Multi-factor authentication is mandatory for all company systems.","password, MFA, authentication, security, credentials, login",IT Security Policy v3.0,2025-12-01
KB-0006,Data Retention Policy,IT,"Customer data is retained for 24 months after the end of the business relationship, then securely deleted. Internal emails are retained for 7 years for legal compliance. Backup copies are kept for 30 days beyond the retention period.","data retention, deletion, backups, compliance, archiving, customer data",IT Security Policy v3.0,2025-07-19
KB-0007,Incident Response Procedure,Security,"Security incidents must be reported to the security team within 1 hour of detection. The on-call responder classifies the incident as low, medium, high, or critical. Critical incidents trigger the crisis bridge and a mandatory post-incident review within 5 business days.","incident response, security incident, breach, reporting, on-call, escalation",Security Runbook v1.9,2025-11-30
KB-0008,Access Control Policy,Security,Access to systems is granted on a least-privilege basis. Employees receive access based on role and must re-verify access every 90 days. Offboarding requires access revocation within 24 hours of the final day.,"access control, least privilege, permissions, RBAC, offboarding, revocation",Security Runbook v1.9,2025-10-21
KB-0009,New Hire Onboarding,Onboarding,"New hires receive a laptop, accounts, and badge on their first day. The onboarding checklist is completed over the first 2 weeks, including security training, HR paperwork, and a 30-60-90 day plan agreed with their manager.","onboarding, new hire, first day, checklist, training, laptop",Onboarding Guide v2.0,2025-06-05
KB-0010,Offboarding Procedure,Onboarding,"When an employee departs, IT revokes access within 24 hours, the badge is collected, and the final paycheck plus unused leave payout is issued within 30 days. Exit interviews are offered to all departing staff.","offboarding, exit interview, termination, final paycheck, access revocation, departure",Onboarding Guide v2.0,2025-06-05
KB-0011,Product Return Policy,Product,Products may be returned within 30 days of purchase in original condition for a full refund. Return shipping is free for defective items only. Customized products are non-refundable.,"returns, refund, product return, defective, warranty, customer service",Product Catalog Policies v5.0,2025-12-10
KB-0012,Product Warranty Terms,Product,Standard products carry a 12-month limited warranty covering manufacturing defects. Batteries and consumables are covered for 6 months. Warranty does not cover accidental damage or unauthorized repairs. Claims must include proof of purchase.,"warranty, repair, defect, coverage, replacement, proof of purchase",Product Catalog Policies v5.0,2025-11-22
KB-0013,Shipping Timeframes,Product,Domestic orders ship within 2 business days and arrive in 3-5 business days. Express shipping (1-2 days) is available for an additional fee. International orders take 10-15 business days and may incur customs duties.,"shipping, delivery, express, international, customs, lead time",Product Catalog Policies v5.0,2025-09-02
KB-0014,API Rate Limits,IT,The public API allows 1000 requests per minute per API key for standard tier and 5000 per minute for enterprise tier. Bursts beyond the limit return HTTP 429 with a Retry-After header. Limits can be raised on request for approved use cases.,"API, rate limit, 429, throttling, enterprise, requests",Developer Docs v3.4,2025-12-15
KB-0015,API Authentication Guide,IT,All API requests must include a Bearer token obtained from the developer portal. Tokens expire after 60 minutes and must be refreshed using the client ID and secret. Never share tokens in URLs or client-side code.,"API, authentication, bearer token, OAuth, credentials, developer",Developer Docs v3.4,2025-11-08
